2026-02-24 19:34:46 WAT LOG:  database system was interrupted; last known up at 2026-02-24 19:29:04 WAT
2026-02-24 19:37:57 WAT ERROR:  column "grade_d_min" of relation "schools" already exists
2026-02-24 19:37:57 WAT STATEMENT:  ALTER TABLE schools ADD COLUMN grade_d_min INTEGER DEFAULT 40
2026-02-24 19:37:57 WAT ERROR:  column "pass_mark" of relation "schools" already exists
2026-02-24 19:37:57 WAT STATEMENT:  ALTER TABLE schools ADD COLUMN pass_mark INTEGER DEFAULT 50
2026-02-24 19:37:57 WAT ERROR:  column "ss_ranking_mode" of relation "schools" already exists
2026-02-24 19:37:57 WAT STATEMENT:  ALTER TABLE schools ADD COLUMN ss_ranking_mode TEXT DEFAULT 'together'
2026-02-24 19:37:57 WAT ERROR:  column "ss1_stream_mode" of relation "schools" already exists
2026-02-24 19:37:57 WAT STATEMENT:  ALTER TABLE schools ADD COLUMN ss1_stream_mode TEXT DEFAULT 'separate'
2026-02-24 19:37:57 WAT ERROR:  column "location" of relation "schools" already exists
2026-02-24 19:37:57 WAT STATEMENT:  ALTER TABLE schools ADD COLUMN location TEXT
2026-02-24 19:37:57 WAT ERROR:  column "phone" of relation "schools" already exists
2026-02-24 19:37:57 WAT STATEMENT:  ALTER TABLE schools ADD COLUMN phone TEXT
2026-02-24 19:37:57 WAT ERROR:  column "email" of relation "schools" already exists
2026-02-24 19:37:57 WAT STATEMENT:  ALTER TABLE schools ADD COLUMN email TEXT
2026-02-24 19:37:57 WAT ERROR:  column "principal_name" of relation "schools" already exists
2026-02-24 19:37:57 WAT STATEMENT:  ALTER TABLE schools ADD COLUMN principal_name TEXT
2026-02-24 19:37:57 WAT ERROR:  column "motto" of relation "schools" already exists
2026-02-24 19:37:57 WAT STATEMENT:  ALTER TABLE schools ADD COLUMN motto TEXT
2026-02-24 19:37:57 WAT ERROR:  column "updated_at" of relation "schools" already exists
2026-02-24 19:37:57 WAT STATEMENT:  ALTER TABLE schools ADD COLUMN updated_at TIMESTAMP DEFAULT CURRENT_TIMESTAMP
2026-02-24 19:37:57 WAT ERROR:  column "principal_signature_image" of relation "schools" already exists
2026-02-24 19:37:57 WAT STATEMENT:  ALTER TABLE schools ADD COLUMN principal_signature_image TEXT
2026-02-24 19:37:57 WAT ERROR:  column "school_id" of relation "schools" already exists
2026-02-24 19:37:57 WAT STATEMENT:  ALTER TABLE schools ADD COLUMN school_id TEXT
2026-02-24 19:37:57 WAT ERROR:  column "signature_image" of relation "teachers" already exists
2026-02-24 19:37:57 WAT STATEMENT:  ALTER TABLE teachers ADD COLUMN signature_image TEXT
2026-02-24 19:37:57 WAT ERROR:  column "academic_year" of relation "result_publications" already exists
2026-02-24 19:37:57 WAT STATEMENT:  ALTER TABLE result_publications ADD COLUMN academic_year TEXT DEFAULT ''
2026-02-24 19:37:57 WAT ERROR:  column "teacher_comment" of relation "published_student_results" already exists
2026-02-24 19:37:57 WAT STATEMENT:  ALTER TABLE published_student_results ADD COLUMN teacher_comment TEXT
2026-02-24 19:37:57 WAT ERROR:  column "academic_year" of relation "published_student_results" already exists
2026-02-24 19:37:57 WAT STATEMENT:  ALTER TABLE published_student_results ADD COLUMN academic_year TEXT
2026-02-24 19:37:57 WAT ERROR:  there is no unique constraint matching given keys for referenced table "schools"
2026-02-24 19:37:57 WAT STATEMENT:  ALTER TABLE students ADD CONSTRAINT fk_students_school FOREIGN KEY (school_id) REFERENCES schools(school_id) ON DELETE CASCADE
2026-02-24 19:37:57 WAT ERROR:  there is no unique constraint matching given keys for referenced table "schools"
2026-02-24 19:37:57 WAT STATEMENT:  ALTER TABLE teachers ADD CONSTRAINT fk_teachers_school FOREIGN KEY (school_id) REFERENCES schools(school_id) ON DELETE CASCADE
2026-02-24 19:37:57 WAT ERROR:  there is no unique constraint matching given keys for referenced table "schools"
2026-02-24 19:37:57 WAT STATEMENT:  ALTER TABLE class_assignments ADD CONSTRAINT fk_class_assignments_school FOREIGN KEY (school_id) REFERENCES schools(school_id) ON DELETE CASCADE
2026-02-24 19:37:59 WAT ERROR:  column "terms_accepted" of relation "users" already exists
2026-02-24 19:37:59 WAT STATEMENT:  ALTER TABLE users ADD COLUMN terms_accepted INTEGER DEFAULT 0
2026-02-24 19:37:59 WAT ERROR:  column "current_login_at" of relation "users" already exists
2026-02-24 19:37:59 WAT STATEMENT:  ALTER TABLE users ADD COLUMN current_login_at TIMESTAMP
2026-02-24 19:37:59 WAT ERROR:  column "last_login_at" of relation "users" already exists
2026-02-24 19:37:59 WAT STATEMENT:  ALTER TABLE users ADD COLUMN last_login_at TIMESTAMP
2026-02-24 19:37:59 WAT ERROR:  column "operations_enabled" of relation "schools" already exists
2026-02-24 19:37:59 WAT STATEMENT:  ALTER TABLE schools ADD COLUMN operations_enabled INTEGER DEFAULT 1
2026-02-24 19:37:59 WAT ERROR:  column "teacher_operations_enabled" of relation "schools" already exists
2026-02-24 19:37:59 WAT STATEMENT:  ALTER TABLE schools ADD COLUMN teacher_operations_enabled INTEGER DEFAULT 1
2026-02-24 19:37:59 WAT ERROR:  column "grade_a_min" of relation "schools" already exists
2026-02-24 19:37:59 WAT STATEMENT:  ALTER TABLE schools ADD COLUMN grade_a_min INTEGER DEFAULT 70
2026-02-24 19:37:59 WAT ERROR:  column "grade_b_min" of relation "schools" already exists
2026-02-24 19:37:59 WAT STATEMENT:  ALTER TABLE schools ADD COLUMN grade_b_min INTEGER DEFAULT 60
2026-02-24 19:37:59 WAT ERROR:  column "grade_c_min" of relation "schools" already exists
2026-02-24 19:37:59 WAT STATEMENT:  ALTER TABLE schools ADD COLUMN grade_c_min INTEGER DEFAULT 50
2026-02-24 19:37:59 WAT ERROR:  column "grade_d_min" of relation "schools" already exists
2026-02-24 19:37:59 WAT STATEMENT:  ALTER TABLE schools ADD COLUMN grade_d_min INTEGER DEFAULT 40
2026-02-24 19:37:59 WAT ERROR:  column "pass_mark" of relation "schools" already exists
2026-02-24 19:37:59 WAT STATEMENT:  ALTER TABLE schools ADD COLUMN pass_mark INTEGER DEFAULT 50
2026-02-24 19:37:59 WAT ERROR:  column "ss_ranking_mode" of relation "schools" already exists
2026-02-24 19:37:59 WAT STATEMENT:  ALTER TABLE schools ADD COLUMN ss_ranking_mode TEXT DEFAULT 'together'
2026-02-24 19:37:59 WAT ERROR:  column "ss1_stream_mode" of relation "schools" already exists
2026-02-24 19:37:59 WAT STATEMENT:  ALTER TABLE schools ADD COLUMN ss1_stream_mode TEXT DEFAULT 'separate'
2026-02-24 19:37:59 WAT ERROR:  column "location" of relation "schools" already exists
2026-02-24 19:37:59 WAT STATEMENT:  ALTER TABLE schools ADD COLUMN location TEXT
2026-02-24 19:37:59 WAT ERROR:  column "phone" of relation "schools" already exists
2026-02-24 19:37:59 WAT STATEMENT:  ALTER TABLE schools ADD COLUMN phone TEXT
2026-02-24 19:37:59 WAT ERROR:  column "email" of relation "schools" already exists
2026-02-24 19:37:59 WAT STATEMENT:  ALTER TABLE schools ADD COLUMN email TEXT
2026-02-24 19:37:59 WAT ERROR:  column "principal_name" of relation "schools" already exists
2026-02-24 19:37:59 WAT STATEMENT:  ALTER TABLE schools ADD COLUMN principal_name TEXT
2026-02-24 19:37:59 WAT ERROR:  column "motto" of relation "schools" already exists
2026-02-24 19:37:59 WAT STATEMENT:  ALTER TABLE schools ADD COLUMN motto TEXT
2026-02-24 19:37:59 WAT ERROR:  column "updated_at" of relation "schools" already exists
2026-02-24 19:37:59 WAT STATEMENT:  ALTER TABLE schools ADD COLUMN updated_at TIMESTAMP DEFAULT CURRENT_TIMESTAMP
2026-02-24 19:37:59 WAT ERROR:  column "principal_signature_image" of relation "schools" already exists
2026-02-24 19:37:59 WAT STATEMENT:  ALTER TABLE schools ADD COLUMN principal_signature_image TEXT
2026-02-24 19:37:59 WAT ERROR:  column "school_id" of relation "schools" already exists
2026-02-24 19:37:59 WAT STATEMENT:  ALTER TABLE schools ADD COLUMN school_id TEXT
2026-02-24 19:37:59 WAT ERROR:  column "signature_image" of relation "teachers" already exists
2026-02-24 19:37:59 WAT STATEMENT:  ALTER TABLE teachers ADD COLUMN signature_image TEXT
2026-02-24 19:37:59 WAT ERROR:  column "academic_year" of relation "result_publications" already exists
2026-02-24 19:37:59 WAT STATEMENT:  ALTER TABLE result_publications ADD COLUMN academic_year TEXT DEFAULT ''
2026-02-24 19:37:59 WAT ERROR:  column "teacher_comment" of relation "published_student_results" already exists
2026-02-24 19:37:59 WAT STATEMENT:  ALTER TABLE published_student_results ADD COLUMN teacher_comment TEXT
2026-02-24 19:37:59 WAT ERROR:  column "academic_year" of relation "published_student_results" already exists
2026-02-24 19:37:59 WAT STATEMENT:  ALTER TABLE published_student_results ADD COLUMN academic_year TEXT
2026-02-24 19:37:59 WAT ERROR:  there is no unique constraint matching given keys for referenced table "schools"
2026-02-24 19:37:59 WAT STATEMENT:  ALTER TABLE students ADD CONSTRAINT fk_students_school FOREIGN KEY (school_id) REFERENCES schools(school_id) ON DELETE CASCADE
2026-02-24 19:37:59 WAT ERROR:  there is no unique constraint matching given keys for referenced table "schools"
2026-02-24 19:37:59 WAT STATEMENT:  ALTER TABLE teachers ADD CONSTRAINT fk_teachers_school FOREIGN KEY (school_id) REFERENCES schools(school_id) ON DELETE CASCADE
2026-02-24 19:37:59 WAT ERROR:  there is no unique constraint matching given keys for referenced table "schools"
2026-02-24 19:37:59 WAT STATEMENT:  ALTER TABLE class_assignments ADD CONSTRAINT fk_class_assignments_school FOREIGN KEY (school_id) REFERENCES schools(school_id) ON DELETE CASCADE
2026-02-24 19:39:47 WAT LOG:  checkpoint starting: time
2026-02-24 19:39:56 WAT LOG:  checkpoint complete: wrote 79 buffers (0.5%), wrote 2 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=8.599 s, sync=0.325 s, total=8.966 s; sync files=45, longest=0.036 s, average=0.008 s; distance=605 kB, estimate=605 kB; lsn=0/4E31248, redo lsn=0/4E311F0
2026-02-24 19:44:47 WAT LOG:  checkpoint starting: time
2026-02-24 19:44:50 WAT LOG:  checkpoint complete: wrote 31 buffers (0.2%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=3.440 s, sync=0.026 s, total=3.475 s; sync files=31, longest=0.002 s, average=0.001 s; distance=48 kB, estimate=549 kB; lsn=0/4E3D530, redo lsn=0/4E3D4D8
2026-02-24 19:49:47 WAT LOG:  checkpoint starting: time
2026-02-24 19:49:47 WAT LOG:  checkpoint complete: wrote 1 buffers (0.0%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=0.116 s, sync=0.008 s, total=0.151 s; sync files=2, longest=0.007 s, average=0.004 s; distance=4 kB, estimate=495 kB; lsn=0/4E3E8D8, redo lsn=0/4E3E880
2026-02-24 19:52:56 WAT ERROR:  column "terms_accepted" of relation "users" already exists
2026-02-24 19:52:56 WAT STATEMENT:  ALTER TABLE users ADD COLUMN terms_accepted INTEGER DEFAULT 0
2026-02-24 19:52:56 WAT ERROR:  column "current_login_at" of relation "users" already exists
2026-02-24 19:52:56 WAT STATEMENT:  ALTER TABLE users ADD COLUMN current_login_at TIMESTAMP
2026-02-24 19:52:56 WAT ERROR:  column "last_login_at" of relation "users" already exists
2026-02-24 19:52:56 WAT STATEMENT:  ALTER TABLE users ADD COLUMN last_login_at TIMESTAMP
2026-02-24 19:52:56 WAT ERROR:  column "operations_enabled" of relation "schools" already exists
2026-02-24 19:52:56 WAT STATEMENT:  ALTER TABLE schools ADD COLUMN operations_enabled INTEGER DEFAULT 1
2026-02-24 19:52:56 WAT ERROR:  column "teacher_operations_enabled" of relation "schools" already exists
2026-02-24 19:52:56 WAT STATEMENT:  ALTER TABLE schools ADD COLUMN teacher_operations_enabled INTEGER DEFAULT 1
2026-02-24 19:52:56 WAT ERROR:  column "grade_a_min" of relation "schools" already exists
2026-02-24 19:52:56 WAT STATEMENT:  ALTER TABLE schools ADD COLUMN grade_a_min INTEGER DEFAULT 70
2026-02-24 19:52:56 WAT ERROR:  column "grade_b_min" of relation "schools" already exists
2026-02-24 19:52:56 WAT STATEMENT:  ALTER TABLE schools ADD COLUMN grade_b_min INTEGER DEFAULT 60
2026-02-24 19:52:56 WAT ERROR:  column "grade_c_min" of relation "schools" already exists
2026-02-24 19:52:56 WAT STATEMENT:  ALTER TABLE schools ADD COLUMN grade_c_min INTEGER DEFAULT 50
2026-02-24 19:52:56 WAT ERROR:  column "grade_d_min" of relation "schools" already exists
2026-02-24 19:52:56 WAT STATEMENT:  ALTER TABLE schools ADD COLUMN grade_d_min INTEGER DEFAULT 40
2026-02-24 19:52:56 WAT ERROR:  column "pass_mark" of relation "schools" already exists
2026-02-24 19:52:56 WAT STATEMENT:  ALTER TABLE schools ADD COLUMN pass_mark INTEGER DEFAULT 50
2026-02-24 19:52:56 WAT ERROR:  column "ss_ranking_mode" of relation "schools" already exists
2026-02-24 19:52:56 WAT STATEMENT:  ALTER TABLE schools ADD COLUMN ss_ranking_mode TEXT DEFAULT 'together'
2026-02-24 19:52:56 WAT ERROR:  column "ss1_stream_mode" of relation "schools" already exists
2026-02-24 19:52:56 WAT STATEMENT:  ALTER TABLE schools ADD COLUMN ss1_stream_mode TEXT DEFAULT 'separate'
2026-02-24 19:52:56 WAT ERROR:  column "location" of relation "schools" already exists
2026-02-24 19:52:56 WAT STATEMENT:  ALTER TABLE schools ADD COLUMN location TEXT
2026-02-24 19:52:56 WAT ERROR:  column "phone" of relation "schools" already exists
2026-02-24 19:52:56 WAT STATEMENT:  ALTER TABLE schools ADD COLUMN phone TEXT
2026-02-24 19:52:56 WAT ERROR:  column "email" of relation "schools" already exists
2026-02-24 19:52:56 WAT STATEMENT:  ALTER TABLE schools ADD COLUMN email TEXT
2026-02-24 19:52:56 WAT ERROR:  column "principal_name" of relation "schools" already exists
2026-02-24 19:52:56 WAT STATEMENT:  ALTER TABLE schools ADD COLUMN principal_name TEXT
2026-02-24 19:52:56 WAT ERROR:  column "motto" of relation "schools" already exists
2026-02-24 19:52:56 WAT STATEMENT:  ALTER TABLE schools ADD COLUMN motto TEXT
2026-02-24 19:52:56 WAT ERROR:  column "updated_at" of relation "schools" already exists
2026-02-24 19:52:56 WAT STATEMENT:  ALTER TABLE schools ADD COLUMN updated_at TIMESTAMP DEFAULT CURRENT_TIMESTAMP
2026-02-24 19:52:56 WAT ERROR:  column "principal_signature_image" of relation "schools" already exists
2026-02-24 19:52:56 WAT STATEMENT:  ALTER TABLE schools ADD COLUMN principal_signature_image TEXT
2026-02-24 19:52:56 WAT ERROR:  column "school_id" of relation "schools" already exists
2026-02-24 19:52:56 WAT STATEMENT:  ALTER TABLE schools ADD COLUMN school_id TEXT
2026-02-24 19:52:56 WAT ERROR:  column "signature_image" of relation "teachers" already exists
2026-02-24 19:52:56 WAT STATEMENT:  ALTER TABLE teachers ADD COLUMN signature_image TEXT
2026-02-24 19:52:56 WAT ERROR:  column "academic_year" of relation "result_publications" already exists
2026-02-24 19:52:56 WAT STATEMENT:  ALTER TABLE result_publications ADD COLUMN academic_year TEXT DEFAULT ''
2026-02-24 19:52:56 WAT ERROR:  column "teacher_comment" of relation "published_student_results" already exists
2026-02-24 19:52:56 WAT STATEMENT:  ALTER TABLE published_student_results ADD COLUMN teacher_comment TEXT
2026-02-24 19:52:56 WAT ERROR:  column "academic_year" of relation "published_student_results" already exists
2026-02-24 19:52:56 WAT STATEMENT:  ALTER TABLE published_student_results ADD COLUMN academic_year TEXT
2026-02-24 19:52:56 WAT ERROR:  there is no unique constraint matching given keys for referenced table "schools"
2026-02-24 19:52:56 WAT STATEMENT:  ALTER TABLE students ADD CONSTRAINT fk_students_school FOREIGN KEY (school_id) REFERENCES schools(school_id) ON DELETE CASCADE
2026-02-24 19:52:56 WAT ERROR:  there is no unique constraint matching given keys for referenced table "schools"
2026-02-24 19:52:56 WAT STATEMENT:  ALTER TABLE teachers ADD CONSTRAINT fk_teachers_school FOREIGN KEY (school_id) REFERENCES schools(school_id) ON DELETE CASCADE
2026-02-24 19:52:56 WAT ERROR:  there is no unique constraint matching given keys for referenced table "schools"
2026-02-24 19:52:56 WAT STATEMENT:  ALTER TABLE class_assignments ADD CONSTRAINT fk_class_assignments_school FOREIGN KEY (school_id) REFERENCES schools(school_id) ON DELETE CASCADE
2026-02-24 19:53:07 WAT ERROR:  column "terms_accepted" of relation "users" already exists
2026-02-24 19:53:07 WAT STATEMENT:  ALTER TABLE users ADD COLUMN terms_accepted INTEGER DEFAULT 0
2026-02-24 19:53:07 WAT ERROR:  column "current_login_at" of relation "users" already exists
2026-02-24 19:53:07 WAT STATEMENT:  ALTER TABLE users ADD COLUMN current_login_at TIMESTAMP
2026-02-24 19:53:07 WAT ERROR:  column "last_login_at" of relation "users" already exists
2026-02-24 19:53:07 WAT STATEMENT:  ALTER TABLE users ADD COLUMN last_login_at TIMESTAMP
2026-02-24 19:53:07 WAT ERROR:  column "operations_enabled" of relation "schools" already exists
2026-02-24 19:53:07 WAT STATEMENT:  ALTER TABLE schools ADD COLUMN operations_enabled INTEGER DEFAULT 1
2026-02-24 19:53:07 WAT ERROR:  column "teacher_operations_enabled" of relation "schools" already exists
2026-02-24 19:53:07 WAT STATEMENT:  ALTER TABLE schools ADD COLUMN teacher_operations_enabled INTEGER DEFAULT 1
2026-02-24 19:53:07 WAT ERROR:  column "grade_a_min" of relation "schools" already exists
2026-02-24 19:53:07 WAT STATEMENT:  ALTER TABLE schools ADD COLUMN grade_a_min INTEGER DEFAULT 70
2026-02-24 19:53:07 WAT ERROR:  column "grade_b_min" of relation "schools" already exists
2026-02-24 19:53:07 WAT STATEMENT:  ALTER TABLE schools ADD COLUMN grade_b_min INTEGER DEFAULT 60
2026-02-24 19:53:07 WAT ERROR:  column "grade_c_min" of relation "schools" already exists
2026-02-24 19:53:07 WAT STATEMENT:  ALTER TABLE schools ADD COLUMN grade_c_min INTEGER DEFAULT 50
2026-02-24 19:53:07 WAT ERROR:  column "grade_d_min" of relation "schools" already exists
2026-02-24 19:53:07 WAT STATEMENT:  ALTER TABLE schools ADD COLUMN grade_d_min INTEGER DEFAULT 40
2026-02-24 19:53:07 WAT ERROR:  column "pass_mark" of relation "schools" already exists
2026-02-24 19:53:07 WAT STATEMENT:  ALTER TABLE schools ADD COLUMN pass_mark INTEGER DEFAULT 50
2026-02-24 19:53:07 WAT ERROR:  column "ss_ranking_mode" of relation "schools" already exists
2026-02-24 19:53:07 WAT STATEMENT:  ALTER TABLE schools ADD COLUMN ss_ranking_mode TEXT DEFAULT 'together'
2026-02-24 19:53:07 WAT ERROR:  column "ss1_stream_mode" of relation "schools" already exists
2026-02-24 19:53:07 WAT STATEMENT:  ALTER TABLE schools ADD COLUMN ss1_stream_mode TEXT DEFAULT 'separate'
2026-02-24 19:53:07 WAT ERROR:  column "location" of relation "schools" already exists
2026-02-24 19:53:07 WAT STATEMENT:  ALTER TABLE schools ADD COLUMN location TEXT
2026-02-24 19:53:07 WAT ERROR:  column "phone" of relation "schools" already exists
2026-02-24 19:53:07 WAT STATEMENT:  ALTER TABLE schools ADD COLUMN phone TEXT
2026-02-24 19:53:07 WAT ERROR:  column "email" of relation "schools" already exists
2026-02-24 19:53:07 WAT STATEMENT:  ALTER TABLE schools ADD COLUMN email TEXT
2026-02-24 19:53:07 WAT ERROR:  column "principal_name" of relation "schools" already exists
2026-02-24 19:53:07 WAT STATEMENT:  ALTER TABLE schools ADD COLUMN principal_name TEXT
2026-02-24 19:53:07 WAT ERROR:  column "motto" of relation "schools" already exists
2026-02-24 19:53:07 WAT STATEMENT:  ALTER TABLE schools ADD COLUMN motto TEXT
2026-02-24 19:53:07 WAT ERROR:  column "updated_at" of relation "schools" already exists
2026-02-24 19:53:07 WAT STATEMENT:  ALTER TABLE schools ADD COLUMN updated_at TIMESTAMP DEFAULT CURRENT_TIMESTAMP
2026-02-24 19:53:07 WAT ERROR:  column "principal_signature_image" of relation "schools" already exists
2026-02-24 19:53:07 WAT STATEMENT:  ALTER TABLE schools ADD COLUMN principal_signature_image TEXT
2026-02-24 19:53:07 WAT ERROR:  column "school_id" of relation "schools" already exists
2026-02-24 19:53:07 WAT STATEMENT:  ALTER TABLE schools ADD COLUMN school_id TEXT
2026-02-24 19:53:07 WAT ERROR:  column "signature_image" of relation "teachers" already exists
2026-02-24 19:53:07 WAT STATEMENT:  ALTER TABLE teachers ADD COLUMN signature_image TEXT
2026-02-24 19:53:07 WAT ERROR:  column "academic_year" of relation "result_publications" already exists
2026-02-24 19:53:07 WAT STATEMENT:  ALTER TABLE result_publications ADD COLUMN academic_year TEXT DEFAULT ''
2026-02-24 19:53:07 WAT ERROR:  column "teacher_comment" of relation "published_student_results" already exists
2026-02-24 19:53:07 WAT STATEMENT:  ALTER TABLE published_student_results ADD COLUMN teacher_comment TEXT
2026-02-24 19:53:07 WAT ERROR:  column "academic_year" of relation "published_student_results" already exists
2026-02-24 19:53:07 WAT STATEMENT:  ALTER TABLE published_student_results ADD COLUMN academic_year TEXT
2026-02-24 19:53:07 WAT ERROR:  there is no unique constraint matching given keys for referenced table "schools"
2026-02-24 19:53:07 WAT STATEMENT:  ALTER TABLE students ADD CONSTRAINT fk_students_school FOREIGN KEY (school_id) REFERENCES schools(school_id) ON DELETE CASCADE
2026-02-24 19:53:07 WAT ERROR:  there is no unique constraint matching given keys for referenced table "schools"
2026-02-24 19:53:07 WAT STATEMENT:  ALTER TABLE teachers ADD CONSTRAINT fk_teachers_school FOREIGN KEY (school_id) REFERENCES schools(school_id) ON DELETE CASCADE
2026-02-24 19:53:07 WAT ERROR:  there is no unique constraint matching given keys for referenced table "schools"
2026-02-24 19:53:07 WAT STATEMENT:  ALTER TABLE class_assignments ADD CONSTRAINT fk_class_assignments_school FOREIGN KEY (school_id) REFERENCES schools(school_id) ON DELETE CASCADE
2026-02-24 19:54:47 WAT LOG:  checkpoint starting: time
2026-02-24 19:54:59 WAT LOG:  checkpoint complete: wrote 107 buffers (0.7%), wrote 2 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=11.751 s, sync=0.032 s, total=11.809 s; sync files=48, longest=0.003 s, average=0.001 s; distance=828 kB, estimate=828 kB; lsn=0/4F0DC28, redo lsn=0/4F0DBD0
2026-02-24 19:59:47 WAT LOG:  checkpoint starting: time
2026-02-24 19:59:48 WAT LOG:  checkpoint complete: wrote 6 buffers (0.0%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=0.650 s, sync=0.006 s, total=0.678 s; sync files=7, longest=0.002 s, average=0.001 s; distance=20 kB, estimate=747 kB; lsn=0/4F12D60, redo lsn=0/4F12D08
2026-02-24 20:00:53 WAT ERROR:  column "terms_accepted" of relation "users" already exists
2026-02-24 20:00:53 WAT STATEMENT:  ALTER TABLE users ADD COLUMN terms_accepted INTEGER DEFAULT 0
2026-02-24 20:00:53 WAT ERROR:  column "current_login_at" of relation "users" already exists
2026-02-24 20:00:53 WAT STATEMENT:  ALTER TABLE users ADD COLUMN current_login_at TIMESTAMP
2026-02-24 20:00:53 WAT ERROR:  column "last_login_at" of relation "users" already exists
2026-02-24 20:00:53 WAT STATEMENT:  ALTER TABLE users ADD COLUMN last_login_at TIMESTAMP
2026-02-24 20:00:53 WAT ERROR:  column "operations_enabled" of relation "schools" already exists
2026-02-24 20:00:53 WAT STATEMENT:  ALTER TABLE schools ADD COLUMN operations_enabled INTEGER DEFAULT 1
2026-02-24 20:00:53 WAT ERROR:  column "teacher_operations_enabled" of relation "schools" already exists
2026-02-24 20:00:53 WAT STATEMENT:  ALTER TABLE schools ADD COLUMN teacher_operations_enabled INTEGER DEFAULT 1
2026-02-24 20:00:53 WAT ERROR:  column "grade_a_min" of relation "schools" already exists
2026-02-24 20:00:53 WAT STATEMENT:  ALTER TABLE schools ADD COLUMN grade_a_min INTEGER DEFAULT 70
2026-02-24 20:00:53 WAT ERROR:  column "grade_b_min" of relation "schools" already exists
2026-02-24 20:00:53 WAT STATEMENT:  ALTER TABLE schools ADD COLUMN grade_b_min INTEGER DEFAULT 60
2026-02-24 20:00:53 WAT ERROR:  column "grade_c_min" of relation "schools" already exists
2026-02-24 20:00:53 WAT STATEMENT:  ALTER TABLE schools ADD COLUMN grade_c_min INTEGER DEFAULT 50
2026-02-24 20:00:53 WAT ERROR:  column "grade_d_min" of relation "schools" already exists
2026-02-24 20:00:53 WAT STATEMENT:  ALTER TABLE schools ADD COLUMN grade_d_min INTEGER DEFAULT 40
2026-02-24 20:00:53 WAT ERROR:  column "pass_mark" of relation "schools" already exists
2026-02-24 20:00:53 WAT STATEMENT:  ALTER TABLE schools ADD COLUMN pass_mark INTEGER DEFAULT 50
2026-02-24 20:00:53 WAT ERROR:  column "ss_ranking_mode" of relation "schools" already exists
2026-02-24 20:00:53 WAT STATEMENT:  ALTER TABLE schools ADD COLUMN ss_ranking_mode TEXT DEFAULT 'together'
2026-02-24 20:00:53 WAT ERROR:  column "ss1_stream_mode" of relation "schools" already exists
2026-02-24 20:00:53 WAT STATEMENT:  ALTER TABLE schools ADD COLUMN ss1_stream_mode TEXT DEFAULT 'separate'
